,title,caption,category,description,url,legiscan,congress
54,US HR115,Establishing a Women's Bill of Rights to reaffirm legal protections afforded to women under Federal law.,CIVIL RIGHTS,Establishing a Women's Bill of Rights to reaffirm legal protections afforded to women under Federal law.,https://translegislation.com//bills/2024/US/HR115,https://legiscan.com/US/text/HR115/id/2692544,https://www.congress.gov/bill/118th-congress/house-resolution/115/all-info
55,US HR1223,"Designating October, 10, 2024, as ""American Girls in Sports Day"".",SPORTS,"Designating October, 10, 2024, as ""American Girls in Sports Day"".",https://translegislation.com//bills/2024/US/HR1223,https://legiscan.com/US/text/HR1223/id/2996410,https://www.congress.gov/bill/118th-congress/house-resolution/1223/all-info
56,US HR1579,"Prohibiting Members, officers, and employees of the House from using single-sex facilities other than those corresponding to their biological sex, and for other purposes.",BATHROOM,"Prohibiting Members, officers, and employees of the House from using single-sex facilities other than those corresponding to their biological sex, and for other purposes.",https://translegislation.com//bills/2024/US/HR1579,https://legiscan.com/US/text/HR1579/id/3028429,https://www.congress.gov/bill/118th-congress/house-resolution/1579/all-info
57,US HR282,Expressing that compelled political litmus tests used by public institutions to require individuals to identify with specific ideological views are directly at odds with the principles of academic freedom and free speech and in violation of the First Amendment of the Constitution.,EDUCATION,Expressing that compelled political litmus tests used by public institutions to require individuals to identify with specific ideological views are directly at odds with the principles of academic freedom and free speech and in violation of the First Amendment of the Constitution.,https://translegislation.com//bills/2024/US/HR282,https://legiscan.com/US/text/HR282/id/2773507,https://www.congress.gov/bill/118th-congress/house-resolution/282/all-info
58,US HR298,"Providing for consideration of the bill (H.R. 734) to amend the Education Amendments of 1972 to provide that for purposes of determining compliance with title IX of such Act in athletics, sex shall be recognized based solely on a person's reproductive biology and genetics at birth, and providing for consideration of the joint resolution (H.J. Res. 42) disapproving the action of the District of Columbia Council in approving the Comprehensive Policing and Justice Reform Amendment Act of 2022.",SPORTS,"Providing for consideration of the bill (H.R. 734) to amend the Education Amendments of 1972 to provide that for purposes of determining compliance with title IX of such Act in athletics, sex shall be recognized based solely on a person's reproductive biology and genetics at birth, and providing for consideration of the joint resolution (H.J. Res. 42) disapproving the action of the District of Columbia Council in approving the Comprehensive Policing and Justice Reform Amendment Act of 2022.",https://translegislation.com//bills/2024/US/HR298,https://legiscan.com/US/text/HR298/id/2786011,https://www.congress.gov/bill/118th-congress/house-resolution/298/all-info
59,US HR518,Pushing back against the labeling of attempts by parents to ensure school curriculum and sports are age and sex appropriate as extreme.,EDUCATION,Pushing back against the labeling of attempts by parents to ensure school curriculum and sports are age and sex appropriate as extreme.,https://translegislation.com//bills/2024/US/HR518,https://legiscan.com/US/text/HR518/id/2828339,https://www.congress.gov/bill/118th-congress/house-resolution/518/all-info
60,US HR536,"Supporting the designation of the week including June 23, 2023, as ""National Women's Sports Week"" to celebrate the anniversary of the passage of title IX and the growth of women's sports.",SPORTS,"Supporting the designation of the week including June 23, 2023, as ""National Women's Sports Week"" to celebrate the anniversary of the passage of title IX and the growth of women's sports.",https://translegislation.com//bills/2024/US/HR536,https://legiscan.com/US/text/HR536/id/2830680,https://www.congress.gov/bill/118th-congress/house-resolution/536/all-info
61,US HR769,"Expressing support for the designation of October 10, 2023, as ""Real Women's Day"".",CIVIL RIGHTS,"Expressing support for the designation of October 10, 2023, as ""Real Women's Day"".",https://translegislation.com//bills/2024/US/HR769,https://legiscan.com/US/text/HR769/id/2852616,https://www.congress.gov/bill/118th-congress/house-resolution/769/all-info
62,US SB1595,End Taxpayer Funding of Gender Experimentation Act of 2023,HEALTHCARE,End Taxpayer Funding of Gender Experimentation Act of 2023,https://translegislation.com//bills/2024/US/SB1595,https://legiscan.com/US/text/SB1595/id/2819634,https://www.congress.gov/bill/118th-congress/senate-bill/1595/all-info
63,US SB1597,Protecting Children From Experimentation Act of 2023,HEALTHCARE,Protecting Children From Experimentation Act of 2023,https://translegislation.com//bills/2024/US/SB1597,https://legiscan.com/US/text/SB1597/id/2819703,https://www.congress.gov/bill/118th-congress/senate-bill/1597/all-info
64,US SB1709,Empower Parents to Protect Their Kids Act of 2023,EDUCATION,Empower Parents to Protect Their Kids Act of 2023,https://translegislation.com//bills/2024/US/SB1709,https://legiscan.com/US/text/SB1709/id/2827463,https://www.congress.gov/bill/118th-congress/senate-bill/1709/all-info
65,US SB187,No Tax Breaks for Radical Corporate Activism Act of 2023,HEALTHCARE,No Tax Breaks for Radical Corporate Activism Act of 2023,https://translegislation.com//bills/2024/US/SB187,https://legiscan.com/US/text/SB187/id/2696929,https://www.congress.gov/bill/118th-congress/senate-bill/187/all-info
66,US SB200,PROTECT Kids Act Parental Rights Over The Education and Care of Their Kids Act,EDUCATION,PROTECT Kids Act Parental Rights Over The Education and Care of Their Kids Act,https://translegislation.com//bills/2024/US/SB200,https://legiscan.com/US/text/SB200/id/2702901,https://www.congress.gov/bill/118th-congress/senate-bill/200/all-info
67,US SB2357,Protect Children’s Innocence Act,HEALTHCARE,Protect Children’s Innocence Act,https://translegislation.com//bills/2024/US/SB2357,https://legiscan.com/US/text/SB2357/id/2836565,https://www.congress.gov/bill/118th-congress/senate-bill/2357/all-info
