Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
H.R. 4651,https://www.congress.gov/bill/117th-congress/house-bill/4651,117,Introduced in House,IH,RECOMPETE Act,https://www.congress.gov/117/bills/hr4651/generated/BILLS-117hr4651ih.html,https://www.congress.gov/117/bills/hr4651/BILLS-117hr4651ih.pdf
H.R. 4155,https://www.congress.gov/bill/117th-congress/house-bill/4155,117,Introduced in House,IH,Green Neighborhoods Act of 2021,https://www.congress.gov/117/bills/hr4155/generated/BILLS-117hr4155ih.html,https://www.congress.gov/117/bills/hr4155/BILLS-117hr4155ih.pdf
H.R. 3407,https://www.congress.gov/bill/117th-congress/house-bill/3407,117,Introduced in House,IH,MOM­MA’s Act,https://www.congress.gov/117/bills/hr3407/generated/BILLS-117hr3407ih.html,https://www.congress.gov/117/bills/hr3407/BILLS-117hr3407ih.pdf
H.R. 8950,https://www.congress.gov/bill/117th-congress/house-bill/8950,117,Introduced in House,IH,Digital Commodities Consumer Protection Act of 2022,https://www.congress.gov/117/bills/hr8950/generated/BILLS-117hr8950ih.html,https://www.congress.gov/117/bills/hr8950/BILLS-117hr8950ih.pdf
H.R. 7706,https://www.congress.gov/bill/117th-congress/house-bill/7706,117,Introduced in House,IH,Judicial Ethics and Anti-Corruption Act of 2022,https://www.congress.gov/117/bills/hr7706/generated/BILLS-117hr7706ih.html,https://www.congress.gov/117/bills/hr7706/BILLS-117hr7706ih.pdf
H.R. 7310,https://www.congress.gov/bill/117th-congress/house-bill/7310,117,Introduced in House,IH,Protecting America’s Retirement Security Act of 2022,https://www.congress.gov/117/bills/hr7310/generated/BILLS-117hr7310ih.html,https://www.congress.gov/117/bills/hr7310/BILLS-117hr7310ih.pdf
H.R. 7310,https://www.congress.gov/bill/117th-congress/house-bill/7310,117,Reported in House,RH,Protecting America’s Retirement Security Act of 2022,https://www.congress.gov/117/bills/hr7310/generated/BILLS-117hr7310rh.html,https://www.congress.gov/117/bills/hr7310/BILLS-117hr7310rh.pdf
H.R. 5497,https://www.congress.gov/bill/117th-congress/house-bill/5497,117,Engrossed in House,EH,BURMA Act of 2021,https://www.congress.gov/117/bills/hr5497/generated/BILLS-117hr5497eh.html,https://www.congress.gov/117/bills/hr5497/BILLS-117hr5497eh.pdf
H.R. 5497,https://www.congress.gov/bill/117th-congress/house-bill/5497,117,Referred in Senate,RFS,BURMA Act of 2021,https://www.congress.gov/117/bills/hr5497/generated/BILLS-117hr5497rfs.html,https://www.congress.gov/117/bills/hr5497/BILLS-117hr5497rfs.pdf
H.R. 4442,https://www.congress.gov/bill/117th-congress/house-bill/4442,117,Introduced in House,IH,Green New Deal for Public Schools Act of 2021,https://www.congress.gov/117/bills/hr4442/generated/BILLS-117hr4442ih.html,https://www.congress.gov/117/bills/hr4442/BILLS-117hr4442ih.pdf
H.R. 3557,https://www.congress.gov/bill/117th-congress/house-bill/3557,117,Introduced in House,IH,Homeland Security Improvement Act,https://www.congress.gov/117/bills/hr3557/generated/BILLS-117hr3557ih.html,https://www.congress.gov/117/bills/hr3557/BILLS-117hr3557ih.pdf
H.R. 2279,https://www.congress.gov/bill/117th-congress/house-bill/2279,117,Introduced in House,IH,Office of Manufacturing and Industrial Innovation Policy Act of 2021,https://www.congress.gov/117/bills/hr2279/generated/BILLS-117hr2279ih.html,https://www.congress.gov/117/bills/hr2279/BILLS-117hr2279ih.pdf
H.R. 4690,https://www.congress.gov/bill/117th-congress/house-bill/4690,117,Reported in House,RH,Sustaining America’s Fisheries for the Future Act of 2022,https://www.congress.gov/117/bills/hr4690/generated/BILLS-117hr4690rh.html,https://www.congress.gov/117/bills/hr4690/BILLS-117hr4690rh.pdf
H.R. 2358,https://www.congress.gov/bill/117th-congress/house-bill/2358,117,Introduced in House,IH,Voter Empowerment Act of 2021,https://www.congress.gov/117/bills/hr2358/generated/BILLS-117hr2358ih.html,https://www.congress.gov/117/bills/hr2358/BILLS-117hr2358ih.pdf
H.R. 5385,https://www.congress.gov/bill/117th-congress/house-bill/5385,117,Introduced in House,IH,Affordable HOME Act,https://www.congress.gov/117/bills/hr5385/generated/BILLS-117hr5385ih.html,https://www.congress.gov/117/bills/hr5385/BILLS-117hr5385ih.pdf
H.R. 8788,https://www.congress.gov/bill/117th-congress/house-bill/8788,117,Introduced in House,IH,Department of State Authorization Act of 2022,https://www.congress.gov/117/bills/hr8788/generated/BILLS-117hr8788ih.html,https://www.congress.gov/117/bills/hr8788/BILLS-117hr8788ih.pdf
H.R. 1783,https://www.congress.gov/bill/117th-congress/house-bill/1783,117,Introduced in House,IH,"Accessible, Affordable Internet for All Act",https://www.congress.gov/117/bills/hr1783/generated/BILLS-117hr1783ih.html,https://www.congress.gov/117/bills/hr1783/BILLS-117hr1783ih.pdf
H.R. 8730,https://www.congress.gov/bill/117th-congress/house-bill/8730,117,Introduced in House,IH,Digital Commodities Consumer Protection Act of 2022,https://www.congress.gov/117/bills/hr8730/generated/BILLS-117hr8730ih.html,https://www.congress.gov/117/bills/hr8730/BILLS-117hr8730ih.pdf
H.R. 6683,https://www.congress.gov/bill/117th-congress/house-bill/6683,117,Introduced in House,IH,ACTION for National Service Act,https://www.congress.gov/117/bills/hr6683/generated/BILLS-117hr6683ih.html,https://www.congress.gov/117/bills/hr6683/BILLS-117hr6683ih.pdf
H.R. 5497,https://www.congress.gov/bill/117th-congress/house-bill/5497,117,Introduced in House,IH,BURMA Act of 2021,https://www.congress.gov/117/bills/hr5497/generated/BILLS-117hr5497ih.html,https://www.congress.gov/117/bills/hr5497/BILLS-117hr5497ih.pdf
H.R. 5169,https://www.congress.gov/bill/117th-congress/house-bill/5169,117,Introduced in House,IH,Nursing Home Improvement and Accountability Act of 2021,https://www.congress.gov/117/bills/hr5169/generated/BILLS-117hr5169ih.html,https://www.congress.gov/117/bills/hr5169/BILLS-117hr5169ih.pdf
H.R. 78,https://www.congress.gov/bill/117th-congress/house-bill/78,117,Introduced in House,IH,Legal Workforce Act,https://www.congress.gov/117/bills/hr78/generated/BILLS-117hr78ih.html,https://www.congress.gov/117/bills/hr78/BILLS-117hr78ih.pdf
H.R. 4497,https://www.congress.gov/bill/117th-congress/house-bill/4497,117,Introduced in House,IH,Housing is Infrastructure Act of 2021,https://www.congress.gov/117/bills/hr4497/generated/BILLS-117hr4497ih.html,https://www.congress.gov/117/bills/hr4497/BILLS-117hr4497ih.pdf
H.R. 1177,https://www.congress.gov/bill/117th-congress/house-bill/1177,117,Introduced in House,IH,U.S. Citizenship Act,https://www.congress.gov/117/bills/hr1177/generated/BILLS-117hr1177ih.html,https://www.congress.gov/117/bills/hr1177/BILLS-117hr1177ih.pdf
H.R. 3524,https://www.congress.gov/bill/117th-congress/house-bill/3524,117,Introduced in House,IH,Ensuring American Global Leadership and Engagement Act,https://www.congress.gov/117/bills/hr3524/generated/BILLS-117hr3524ih.html,https://www.congress.gov/117/bills/hr3524/BILLS-117hr3524ih.pdf
H.R. 7780,https://www.congress.gov/bill/117th-congress/house-bill/7780,117,Introduced in House,IH,Mental Health Matters Act,https://www.congress.gov/117/bills/hr7780/generated/BILLS-117hr7780ih.html,https://www.congress.gov/117/bills/hr7780/BILLS-117hr7780ih.pdf
H.R. 7780,https://www.congress.gov/bill/117th-congress/house-bill/7780,117,Reported in House,RH,Mental Health Matters Act,https://www.congress.gov/117/bills/hr7780/generated/BILLS-117hr7780rh.html,https://www.congress.gov/117/bills/hr7780/BILLS-117hr7780rh.pdf
H.R. 6577,https://www.congress.gov/bill/117th-congress/house-bill/6577,117,Introduced in House,IH,"Real Courts, Rule of Law Act of 2022",https://www.congress.gov/117/bills/hr6577/generated/BILLS-117hr6577ih.html,https://www.congress.gov/117/bills/hr6577/BILLS-117hr6577ih.pdf
H.R. 2839,https://www.congress.gov/bill/117th-congress/house-bill/2839,117,Introduced in House,IH,Bipartisan Border Solutions Act of 2021,https://www.congress.gov/117/bills/hr2839/generated/BILLS-117hr2839ih.html,https://www.congress.gov/117/bills/hr2839/BILLS-117hr2839ih.pdf
H.R. 602,https://www.congress.gov/bill/117th-congress/house-bill/602,117,Introduced in House,IH,Relaunching America’s Workforce Act,https://www.congress.gov/117/bills/hr602/generated/BILLS-117hr602ih.html,https://www.congress.gov/117/bills/hr602/BILLS-117hr602ih.pdf
