Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
S. 2515,https://www.congress.gov/bill/118th-congress/senate-bill/2515,118,Introduced in Senate,IS,Promotion and Expansion of Private Employee Ownership Act of 2023,https://www.congress.gov/118/bills/s2515/generated/BILLS-118s2515is.html,https://www.congress.gov/118/bills/s2515/BILLS-118s2515is.pdf
S. 2185,https://www.congress.gov/bill/118th-congress/senate-bill/2185,118,Introduced in Senate,IS,Small Business Development Centers Improvement Act of 2023,https://www.congress.gov/118/bills/s2185/generated/BILLS-118s2185is.html,https://www.congress.gov/118/bills/s2185/BILLS-118s2185is.pdf
S. 18,https://www.congress.gov/bill/118th-congress/senate-bill/18,118,Introduced in Senate,IS,Protecting Individuals with Down Syndrome Act,https://www.congress.gov/118/bills/s18/generated/BILLS-118s18is.html,https://www.congress.gov/118/bills/s18/BILLS-118s18is.pdf
S.Res. 148,https://www.congress.gov/bill/118th-congress/senate-resolution/148,118,Agreed to Senate,ATS,"A resolution recognizing the heritage, culture, and contributions of American Indian, Alaska Native, and Native Hawaiian women in the United States.",https://www.congress.gov/118/bills/sres148/generated/BILLS-118sres148ats.html,https://www.congress.gov/118/bills/sres148/BILLS-118sres148ats.pdf
S. 2722,https://www.congress.gov/bill/118th-congress/senate-bill/2722,118,Introduced in Senate,IS,Investing in Tomorrow's Workforce Act of 2023,https://www.congress.gov/118/bills/s2722/generated/BILLS-118s2722is.html,https://www.congress.gov/118/bills/s2722/BILLS-118s2722is.pdf
S. 1824,https://www.congress.gov/bill/118th-congress/senate-bill/1824,118,Introduced in Senate,IS,MASS Act,https://www.congress.gov/118/bills/s1824/generated/BILLS-118s1824is.html,https://www.congress.gov/118/bills/s1824/BILLS-118s1824is.pdf
S. 1547,https://www.congress.gov/bill/118th-congress/senate-bill/1547,118,Introduced in Senate,IS,Reach Every Mother and Child Act of 2023,https://www.congress.gov/118/bills/s1547/generated/BILLS-118s1547is.html,https://www.congress.gov/118/bills/s1547/BILLS-118s1547is.pdf
S. 928,https://www.congress.gov/bill/118th-congress/senate-bill/928,118,Introduced in Senate,IS,Not Just a Number Act,https://www.congress.gov/118/bills/s928/generated/BILLS-118s928is.html,https://www.congress.gov/118/bills/s928/BILLS-118s928is.pdf
S. 3247,https://www.congress.gov/bill/118th-congress/senate-bill/3247,118,Introduced in Senate,IS,Stop Shackling and Detaining Pregnant Women Act,https://www.congress.gov/118/bills/s3247/generated/BILLS-118s3247is.html,https://www.congress.gov/118/bills/s3247/BILLS-118s3247is.pdf
S. 2522,https://www.congress.gov/bill/118th-congress/senate-bill/2522,118,Introduced in Senate,IS,ABLE MATCH (Making Able a Tool to Combat Hardship) Act,https://www.congress.gov/118/bills/s2522/generated/BILLS-118s2522is.html,https://www.congress.gov/118/bills/s2522/BILLS-118s2522is.pdf
S. 2402,https://www.congress.gov/bill/118th-congress/senate-bill/2402,118,Introduced in Senate,IS,Gateway to Careers Act of 2023,https://www.congress.gov/118/bills/s2402/generated/BILLS-118s2402is.html,https://www.congress.gov/118/bills/s2402/BILLS-118s2402is.pdf
S. 1377,https://www.congress.gov/bill/118th-congress/senate-bill/1377,118,Introduced in Senate,IS,Visitable Inclusive Tax credits for Accessible Living (VITAL) Act,https://www.congress.gov/118/bills/s1377/generated/BILLS-118s1377is.html,https://www.congress.gov/118/bills/s1377/BILLS-118s1377is.pdf
S. 1350,https://www.congress.gov/bill/118th-congress/senate-bill/1350,118,Introduced in Senate,IS,WIPPES Act,https://www.congress.gov/118/bills/s1350/generated/BILLS-118s1350is.html,https://www.congress.gov/118/bills/s1350/BILLS-118s1350is.pdf
S. 815,https://www.congress.gov/bill/118th-congress/senate-bill/815,118,Introduced in Senate,IS,Hello Girls Congressional Gold Medal Act of 2023,https://www.congress.gov/118/bills/s815/generated/BILLS-118s815is.html,https://www.congress.gov/118/bills/s815/BILLS-118s815is.pdf
S.Con.Res. 9,https://www.congress.gov/bill/118th-congress/senate-concurrent-resolution/9,118,Introduced in Senate,IS,"A concurrent resolution expressing the sense of Congress that there is a climate emergency which demands a massive-scale mobilization to halt, reverse, and address its consequences and causes.",https://www.congress.gov/118/bills/sconres9/generated/BILLS-118sconres9is.html,https://www.congress.gov/118/bills/sconres9/BILLS-118sconres9is.pdf
S.Res. 173,https://www.congress.gov/bill/118th-congress/senate-resolution/173,118,Introduced in Senate,IS,A resolution recognizing the duty of the Federal Government to create a Green New Deal.,https://www.congress.gov/118/bills/sres173/generated/BILLS-118sres173is.html,https://www.congress.gov/118/bills/sres173/BILLS-118sres173is.pdf
S. 2701,https://www.congress.gov/bill/118th-congress/senate-bill/2701,118,Introduced in Senate,IS,Housing for All Act of 2023,https://www.congress.gov/118/bills/s2701/generated/BILLS-118s2701is.html,https://www.congress.gov/118/bills/s2701/BILLS-118s2701is.pdf
S. 1606,https://www.congress.gov/bill/118th-congress/senate-bill/1606,118,Introduced in Senate,IS,Black Maternal Health Momnibus Act,https://www.congress.gov/118/bills/s1606/generated/BILLS-118s1606is.html,https://www.congress.gov/118/bills/s1606/BILLS-118s1606is.pdf
S. 1031,https://www.congress.gov/bill/118th-congress/senate-bill/1031,118,Introduced in Senate,IS,EACH Act of 2023,https://www.congress.gov/118/bills/s1031/generated/BILLS-118s1031is.html,https://www.congress.gov/118/bills/s1031/BILLS-118s1031is.pdf
S. 59,https://www.congress.gov/bill/118th-congress/senate-bill/59,118,Introduced in Senate,IS,Chance to Compete Act of 2023,https://www.congress.gov/118/bills/s59/generated/BILLS-118s59is.html,https://www.congress.gov/118/bills/s59/BILLS-118s59is.pdf
